sample_index,index,original_review,char_count,Date,Author,URL,Rating,Language,Sentiment 1,Sentiment 2,Sentiment 3,Sentiment 4,Sentiment 5
11,1237,"The food was good but the atmosphere was very stiff. When I told my son where I was going he said "" I hope your not hungry!"" One of the couses was literally one cherry cut in half covered with some cheese.  As a special effect for dessert the waiter brought dry ice in a bowl and poured Hermes Perfum over it so the table would be covered in perfumed smoke ( what the heck?) When we left with a bill of 630€ for 4, the chef who had sat down at the table next to us, did not even look up let alone said good-bye.  If they want another Michelin Star they need to step it up and polish up on their manners! Also, the toilets are not up to standard. Will NOT go back! ",509,22/7/2018,Marie,https://www.tripadvisor.com/ShowUserReviews-g1006484-d1015502-r598600594-La_Distillerie-Bourglinster.html,3,en,1 (negative),1 (negative),2 (mostly negative),1 (negative),1 (negative)
12,649,"Let us be honnest, the place is great and if you stay one night, do not hesitate to take a room in the Maison right across the street, less expensive than the hotel and very nice. You can even walk by the nice underground passage. Food was great, service excellent despite the COVID and the mask weared by all staff .  My only point of unpleasementless was the sommelier which was quite passive and did not help us to make the best choise.  I recomment the Ile flottante au caviar “Kristal“ and the lamb as well as the Homard “Pattes bleues“. My wife, found of crustacean was not sure of the combination Homard café, but ot worked very well.",504,14/7/2020,BibouHunter,https://www.tripadvisor.com/ShowUserReviews-g196540-d1440197-r760024348-La_Cote_Saint_Jacques-Joigny_Yonne_Bourgogne_Franche_Comte.html,4,en,4 (mostly positive),4 (mostly positive),4 (mostly positive),4 (mostly positive),4 (mostly positive)
13,1155,"I state that I am not an expert in the field. The guys in the room are nothing short of wonderful. They love what they do and they pass it on to their skins. The food has made my imagination and my attention to translate visually every taste tasted flavor, but I did not understand why being careful not to waste and to enhance what the territory offers, were combined with French wines that in my opinion did not link with the flavors of local food.  I did not like the shape on arrival, ""we invite you to the aperitif room waiting for the table"", we were poured 2 glasses of water NOT required, and after paying a very important bill, we were asked for an extra 15 euros for 2 glasses of water.",549,28/10/2024,Gessica C,https://www.tripadvisor.com/ShowUserReviews-g194704-d26683048-r976936414-Atelier_Moessmer_Norbert_Niederkofler-Brunico_Province_of_South_Tyrol_Trentino_.html,3,en,4 (mostly positive),3 (neutral),3 (neutral),3 (neutral),3 (neutral)
14,728,"Let me start with the lovely staff: Nothing like having the chef greet you and welcome you when you walk in. The team was amazing and attentive and there when needed, but otherwise not hovering. Everyone was friendly and it was a pleasure seeing how the kitchen staff worked on the dishes.   Except for the prawns which were a little too rich for me, all dishes were amazing -- especially the peas wrapped in fig leaves which reminded me of a Peruvian childhood dish. The smoked salmon was to die for, so was the hake. Desserts were delicious, too.   The vibe was not pretentious or stiff at all, which made the evening even more fun. Definitely worth 2 Michelin stars! ",530,10/6/2023,Helmut,https://www.tripadvisor.com/ShowUserReviews-g189541-d3842483-r894302211-Kadeau_Copenhagen-Copenhagen_Zealand.html,5,en,4 (mostly positive),5 (positive),4 (mostly positive),5 (positive),4 (mostly positive)
15,487,"From the moment we entered the venue we were happily surprised by the ambiance of the restaurant, the friendliness of the staff, the outstanding and tasteful dishes and the way they were presented at the table.  Aponem truly gives you an experience you've never had before. Every dish was a piece of art and mouth-watering. One gentle advice to the sommelier is to serve a broader variety of drinks for non-alcohol drinking guests accompanying the marvelous dishes, that would really make it complete. As it was wintertime when we visited Aponem, we did not have the chance to enjoy the splendid views, we’ll certainly come back during spring or summer.",529,25/2/2019,Wim M,https://www.tripadvisor.com/ShowUserReviews-g6919454-d15027610-r654710675-Aponem_Auberge_du_Presbytere-Vailhan_Herault_Occitanie.html,5,en,4 (mostly positive),4 (mostly positive),5 (positive),4 (mostly positive),4 (mostly positive)
16,1104,"There isn't much to say about Od Urla except that it truly deserves its reputation. I opted for the tasting menu, which was a delightful journey through local flavors skillfully blended into modern recipes. The staff was very attentive, although I noticed that the executive and sous chefs seemed more focused on the tables of the celebrities dining alongside us. Perhaps next time, we can also receive a greeting from the chefs.  While I found it to be overpriced, it is definitely an experience worth having at least once in a lifetime. I particularly loved the kuzukulağı cocktail, which was rich in flavor and showcased the freshness of its ingredients beautifully.",544,6/10/2024,Serenisma,https://www.tripadvisor.com/ShowUserReviews-g2543601-d16659039-r972761205-OD_Urla-Urla_Izmir_Province_Turkish_Aegean_Coast.html,5,en,4 (mostly positive),4 (mostly positive),4 (mostly positive),4 (mostly positive),4 (mostly positive)
17,1317,This restaurant uses fresh local ingredients. We  had a 3 course dinner with their wine. It was amazing. We went with a group and everyone was raving how wonderful it was. The chocolate dessert with strawberries had hot fudge poured over it that melted the hollow ball of chocolate. The flavor was addicting! Service  was excellent and they explained each course. They are proud of their restaurant and should be. I am hard to impress when it comes to food and this was great.It is located in a renovated but preserved home built in the 1400s in a small attractive village near Lake Bled.,473,19/9/2023,Judy B,https://www.tripadvisor.com/ShowUserReviews-g274879-d23569931-r917413488-Hisa_Linhart_Restavracija_Hotel-Radovljica_Upper_Carniola_Region.html,5,en,5 (positive),5 (positive),5 (positive),5 (positive),5 (positive)
18,1010,"On our first holiday in 18 months we were again highly impressed by the food, the ambience and the service at Schloss Schauenstein. Everything excels here from the first Amuse Bouche throughout the meal.  The great new addition that we enjoyed two days later is the newly opened restaurant Oz next door - also part of the Caminada set-up.. A dozen of vegetables based courses, all dramatically fresh and in a thoughtful Progression in a Counter setting was a great additional experience. Don’t miss it - currently you can get reservations on a couple of weeks notice we were told (rather than months for Schauenstein).",499,25/7/2021,Steinersing,https://www.tripadvisor.com/ShowUserReviews-g2080066-d2069731-r799823351-Schloss_Schauenstein_Restaurant-Fuerstenau_Canton_of_Graubunden_Swiss_Alps.html,5,en,5 (positive),5 (positive),5 (positive),5 (positive),5 (positive)
19,295,"They don't have a Michelin star yet but they really should go straight to two. The service is impeccable (thank you for the hospitality Jana) and the food is simply unforgettable. The ""sunflower"" with crunchy leek leaves (and beef centre) along with the ""sea urchin"" were my favourites... or were they? I forgot the ""bee"" dessert. Every single dish was a rare culinary journey and a work of art. Chef Papazacharias was there to explain the restaurant's zero-waste principles and it's ambition to introduce the world to a new side of Greek cuisine. 12 tables, one seating, nothing to compare it with in Athens.",480,7/7/2022,patsakellari,https://www.tripadvisor.com/ShowUserReviews-g189467-d18820451-r846619061-Delta-Kallithea_Kassandra_Halkidiki_Region_Central_Macedonia.html,5,en,5 (positive),5 (positive),5 (positive),5 (positive),5 (positive)
20,1272,Firstly we have to praise the fabulous restaurant which provided exquisite food with a small but varied menu.  It was fairly pricey - 3 courses E47 per head - but well worth it.  The staff were charming and extremely courteous.  Unfortunately we cannot be as generous about our room.  This was situated in the Pavilion and was dated and clumsy in appearance.  The bathroom had mould around the shower area which needs addressing.  There were no toiletries (only a used shampoo and sewing kit!) or bottles of complementary water which tends to be standard in many hotels if this calibre.    The Spa!  This was super and we made use of it twice being able to book it out privately for E15 per head.  Such a treat!,560,10/9/2022,Travelcritic30,https://www.tripadvisor.com/ShowUserReviews-g207342-d2092708-r859422904-Chateau_de_Beaulieu-Joue_les_Tours_Tours_Indre_et_Loire_Centre_Val_de_Loire.html,3,en,4 (mostly positive),3 (neutral),4 (mostly positive),3 (neutral),3 (neutral)
21,855,"We went here because my husband wanted to eat here for already a long time. It was his birthday so I made reservations. Food was very tasty. We had the 7 course (I think it was 7) dinner. Started out with some delicious amuses. The main (pigeon) was seriously the best pigeon I ever ate. The garden view was also perfect. Only minor criticism I have is that when you come there, you go to the first room to have some snacks. And there is only the option to have some champagne or other sparkling wine as a aperitif. It would be -for me- also good to order a bottle of wine and already start there. We already had a few rounds of food before we got our first glass of wine.",523,20/7/2018,Miranda K,https://www.tripadvisor.com/ShowUserReviews-g1756478-d786401-r597801534-L_air_du_temps-Eghezee_The_Ardennes_Wallonia.html,4,en,4 (mostly positive),4 (mostly positive),4 (mostly positive),4 (mostly positive),4 (mostly positive)
22,1027,"It's not simply a meal - it's a whole breathtaking experience. We were also hotel guests - very warm welcome, nice characterful room but also plenty of charming places in and around the castle - small swimming pool area, terrace, garden...We took the 4 dishes menu plus 2 surprise dishes - and I need to mention the series of ""amuse bouches"" that are simply amazing. 1-2 courses were weaker than the rest but nevertheless we were entirely satisfied. Their smoking room is very beautiful. The breakfast was nice without more. The staff is perfect - well trained, highly professional, but without being inhuman.",483,17/9/2018,Tzvetan M,https://www.tripadvisor.com/ShowUserReviews-g2080066-d2069731-r617185925-Schloss_Schauenstein_Restaurant-Fuerstenau_Canton_of_Graubunden_Swiss_Alps.html,5,en,5 (positive),5 (positive),5 (positive),5 (positive),5 (positive)
23,847,"Close to Eghezee/Namur lays the beautiful farm where patron Sang-Hoon Degeimbre rules. The environment, where the crew grown their ingredients) is breath taking. With a group of eight chef's we had a dinner at the Chef's Table.  6 'official' courses which are actually way over 10 accompanied by their selection of wines. Sang-Hoon took the time of explaining his ideas and how the dish was formed for every course. These dishes were fine dining pro forma. All was executed perfectly by the, ofcourse, highly trained staff. This place is heaven on earth, gastronomy at it's finest degree. The Michelin stars are well, well deserved. One of the best experiences in my lifetime.",540,20/6/2019,Tim Snow - The Touring Chef,https://www.tripadvisor.com/ShowUserReviews-g1756478-d786401-r682851231-L_air_du_temps-Eghezee_The_Ardennes_Wallonia.html,5,en,5 (positive),5 (positive),5 (positive),5 (positive),5 (positive)
24,637,"Very nice oriented restaurant with ambitious chef Luka who’s specialty is local ingredients and herbs. Till now I was always excited and I felt really enthusiastic approach. This time was first surprise that they had only 3 menus and with different varieties of same ingredients, so no chance for something more common as beef stake or similar and to many combinations of different tastes and ingredients which were not composed into a harmony. Also inexperienced new young waiter wasn’t handle service well, so final experience was a little bit disappointing. Maybe was the last day before closing for holidays but I suggest guests to check offer before reservation. ",551,8/8/2019,MK001,https://www.tripadvisor.com/ShowUserReviews-g5985537-d5267378-r696917374-GRIC_LUKA_KOSIR-Sentjost_Nad_Horjulom_Upper_Carniola_Region.html,3,en,2 (mostly negative),2 (mostly negative),4 (mostly positive),2 (mostly negative),2 (mostly negative)
25,623,"The cold and sparse reception did not make an impression.  No explanation about the food.  That's something.  Freshwater fish are offered as sea fish.  Poor selection of wines by the glass for such an expensive restaurant.  Describing tannins in white wine (?!) is almost alarming.  Given that they offer locally produced food, I would expect more than just 4 slices of veal loin, but not necessarily in quantity.  The fish was tasteless, too greasy, practically inedible in the unfortunate combination.  The only positive thing was a really nice and good dessert, and of course the beautiful white landscape.  In short, STRONGLY NOT RECOMMEND!",512,23/1/2023,Ernest Novak,https://www.tripadvisor.com/ShowUserReviews-g5985537-d5267378-r876113603-GRIC_LUKA_KOSIR-Sentjost_Nad_Horjulom_Upper_Carniola_Region.html,2,en,1 (negative),1 (negative),1 (negative),1 (negative),1 (negative)
